wrinklers,buff_cycles,buff_percent,time_for_cycles_s,time_left_clicking_s,total_clicks,cookies_during_buff,final_cookies
3,27,2700,6.75,3.25,325.0,7735.0,10403.574999999999
3,28,2800,7.0,3.0,300.0,7395.0,9946.275
3,29,2900,7.25,2.75,275.0,7012.5,9431.8125
3,30,3000,7.5,2.5,250.0,6587.5,8860.1875
3,31,3100,7.75,2.25,225.0,6120.0,8231.4
3,32,3200,8.0,2.0,200.0,5610.0,7545.45
3,33,3300,8.25,1.75,175.0,5057.5,6802.3375
3,34,3400,8.5,1.5,150.0,4462.5,6002.0625
3,35,3500,8.75,1.25,125.0,3825.0,5144.625
3,36,3600,9.0,1.0,100.0,3145.0,4230.025
3,37,3700,9.25,0.75,75.0,2422.5,3258.2625
3,38,3800,9.5,0.5,50.0,1657.5,2229.3375
3,39,3900,9.75,0.25,25.0,850.0,1143.25
3,40,4000,10.0,0.0,0.0,0.0,0.0
4,1,100,0.25,9.75,975.0,1560.0,2620.8
4,2,200,0.5,9.5,950.0,2280.0,3830.4000000000005
4,3,300,0.75,9.25,925.0,2960.0,4972.8
4,4,400,1.0,9.0,900.0,3600.0,6048.000000000001
4,5,500,1.25,8.75,875.0,4200.0,7056.000000000001
4,6,600,1.5,8.5,850.0,4760.0,7996.800000000001
4,7,700,1.75,8.25,825.0,5280.0,8870.400000000001
4,8,800,2.0,8.0,800.0,5760.0,9676.800000000001
4,9,900,2.25,7.75,775.0,6200.0,10416.000000000002
4,10,1000,2.5,7.5,750.0,6600.0,11088.000000000002
4,11,1100,2.75,7.25,725.0,6960.0,11692.800000000001
4,12,1200,3.0,7.0,700.0,7280.0,12230.400000000001
4,13,1300,3.25,6.75,675.0,7560.0,12700.800000000001
4,14,1400,3.5,6.5,650.0,7800.0,13104.000000000002
4,15,1500,3.75,6.25,625.0,8000.0,13440.000000000002
4,16,1600,4.0,6.0,600.0,8160.0,13708.800000000001
4,17,1700,4.25,5.75,575.0,8280.0,13910.400000000001
4,18,1800,4.5,5.5,550.0,8360.0,14044.800000000001
4,19,1900,4.75,5.25,525.0,8400.0,14112.000000000002
4,20,2000,5.0,5.0,500.0,8400.0,14112.000000000002
4,21,2100,5.25,4.75,475.0,8360.0,14044.800000000001
4,22,2200,5.5,4.5,450.0,8280.0,13910.400000000001
4,23,2300,5.75,4.25,425.0,8160.0,13708.800000000001
4,24,2400,6.0,4.0,400.0,8000.0,13440.000000000002
4,25,2500,6.25,3.75,375.0,7800.0,13104.000000000002
4,26,2600,6.5,3.5,350.0,7560.0,12700.800000000001
4,27,2700,6.75,3.25,325.0,7280.0,12230.400000000001
4,28,2800,7.0,3.0,300.0,6960.0,11692.800000000001
4,29,2900,7.25,2.75,275.0,6600.0,11088.000000000002
4,30,3000,7.5,2.5,250.0,6200.0,10416.000000000002
4,31,3100,7.75,2.25,225.0,5760.0,9676.800000000001
4,32,3200,8.0,2.0,200.0,5280.0,8870.400000000001
4,33,3300,8.25,1.75,175.0,4760.0,7996.800000000001
4,34,3400,8.5,1.5,150.0,4200.0,7056.000000000001
4,35,3500,8.75,1.25,125.0,3600.0,6048.000000000001
4,36,3600,9.0,1.0,100.0,2960.0,4972.8
4,37,3700,9.25,0.75,75.0,2280.0,3830.4000000000005
4,38,3800,9.5,0.5,50.0,1560.0,2620.8
4,39,3900,9.75,0.25,25.0,800.0,1344.0000000000002
4,40,4000,10.0,0.0,0.0,0.0,0.0
5,1,100,0.25,9.75,975.0,1462.5,3107.8125
5,2,200,0.5,9.5,950.0,2137.5,4542.1875
5,3,300,0.75,9.25,925.0,2775.0,5896.875
5,4,400,1.0,9.0,900.0,3375.0,7171.875
5,5,500,1.25,8.75,875.0,3937.5,8367.1875
5,6,600,1.5,8.5,850.0,4462.5,9482.8125
5,7,700,1.75,8.25,825.0,4950.0,10518.75
5,8,800,2.0,8.0,800.0,5400.0,11475.0
5,9,900,2.25,7.75,775.0,5812.5,12351.5625
5,10,1000,2.5,7.5,750.0,6187.5,13148.4375
5,11,1100,2.75,7.25,725.0,6525.0,13865.625
5,12,1200,3.0,7.0,700.0,6825.0,14503.125
